Country Name,Country Code,Adjusted net national income (current US$) [NY.ADJ.NNTY.CD],"Air transport, passengers carried [IS.AIR.PSGR]",Average precipitation in depth (mm per year) [AG.LND.PRCP.MM],Children out of school (% of primary school age) [SE.PRM.UNER.ZS],Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",Food exports (% of merchandise exports) [TX.VAL.FOOD.ZS.UN],Forest area (% of land area) [AG.LND.FRST.ZS],Individuals using the Internet (% of population) [IT.NET.USER.ZS],"Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]","International tourism, number of arrivals [ST.INT.ARVL]",Land area (sq. km) [AG.LND.TOTL.K2],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"
Afghanistan,AFG,18125555844.8381,1737962.12640656,327,,6.2979998588562,5.38,17.4372227678394,2.06782464846981,5.45454545454545,6.34590567573504,,652860,62.086
Albania,ALB,10560919140.4463,814339.730278696,1485,9.53489971160889,16.5429992675781,1.685,4.57760201151935,28.2620437956204,54.6559590399494,5.37664051747254,3156000,27400,77.389
Algeria,DZA,166002563994.37,4082595,89,0.889169991016388,40.7459983825684,2.936,0.445064950240349,0.811675497745346,18.2,1.39222203614895,2634000,2381740,75.187
American Samoa,ASM,,56096.9796769151,,,,,,88.2,,3.62122035125837,22600,200,
Andorra,AND,,,,,,,1.22112166391271,34.0425531914894,86.4344246167258,0,2238000,470,
Angola,AGO,37306384633.2097,1132424,1010,,8.60099983215332,6,0.0631199240339422,46.7076281382851,6.5,4.84934940219914,528000,1246700,59.77
Antigua and Barbuda,ATG,,1310276.41341743,1030,22.0779209136963,,2.102,56.8403419695816,22.2727272727273,58,10.3330336753567,247000,440,75.733
Argentina,ARG,471031622119.472,9375669.73963746,591,0.813000023365021,23.6560001373291,2.347,53.663430990532,10.2322148288626,55.8,,5587000,2736690,75.926
Armenia,ARM,9453686905.84726,364733,562,,17.6919994354248,1.664,25.9209839903098,11.6403231471725,37.5,2.25543925199919,963000,28470,73.814
Aruba,ABW,,,,,,1.791,76.4633395703071,2.33333333333333,74,3.89950963666319,904000,180,75.299
Australia,AUS,1191336758643.4,66355274,534,2.34473991394043,20.7189998626709,1.917,12.7825812456057,16.1184801426656,79,1.06476911664782,6032000,7682300,82.0463414634146
Austria,AUT,337174351417.638,14518841.0529716,1110,,26.0799999237061,1.44,7.11683356172506,46.8008818470335,80.0299939169903,0.927496974481388,24151000,82554,80.9365853658537
Azerbaijan,AZE,47884928367.2703,1560084,447,10.7099704742432,14.2869997024536,2,3.47769507187042,12.8328776403978,54.2,2.18026777789806,1986000,82658,71.478
"Bahamas, The",BHS,9766175847.11319,1048391.0668218,1292,,13.4569997787476,1.827,24.3746103066396,51.4485514485514,71.7482028146963,29.8355817535258,1422000,10010,75.079
Bahrain,BHR,23144994960.2626,5861786.99900694,83,7.25919008255005,35.064998626709,2.118,2.5917780937043,0.727272727272727,88,0.307640955317459,8062000,770,76.341
Bangladesh,BGD,131482748847.952,2195061.68029907,2666,,18.7880001068115,2.236,2.6439933995634,11.0378735499731,5,2.64180174269399,125000,130170,71.039
Barbados,BRB,3926282569.50006,,1422,,19.1690006256104,1.788,31.4530995120168,14.6511627906977,71.2,7.81291617096081,536000,430,75.292
Belarus,BLR,58390745443.1293,943081,618,5.72114992141724,34.7879981994629,1.62,9.80999908054581,42.2542013700655,46.91,3.58962934965418,6129900,202910,71.9658536585366
