Time	"Time Code"	"Country Name"	"Country Code"	"Adjusted net national income (current US$) [NY.ADJ.NNTY.CD]"	"Air transport, passengers carried [IS.AIR.PSGR]"	"Average precipitation in depth (mm per year) [AG.LND.PRCP.MM]"	"Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS]"	"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]"	"Food exports (% of merchandise exports) [TX.VAL.FOOD.ZS.UN]"	"Forest area (% of land area) [AG.LND.FRST.ZS]"	"Individuals using the Internet (% of population) [IT.NET.USER.ZS]"	"Land area (sq. km) [AG.LND.TOTL.K2]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"GDP (current US$) [NY.GDP.MKTP.CD]"	"International tourism, number of arrivals [ST.INT.ARVL]"
2012	"YR2012"	"Afghanistan"	"AFG"	"18125555844.8381"	"1737962.12640656"	"327"	"6.2979998588562"	"5.38"	"17.4372227678394"	"2.06782464846981"	"5.45454545454545"	"652860"	"62.086"	"20536542736.7297"	""
2012	"YR2012"	"Albania"	"ALB"	"10560919140.4463"	"814339.730278696"	"1485"	"16.5429992675781"	"1.685"	"4.57760201151935"	"28.2620437956204"	"54.6559590399494"	"27400"	"77.389"	"12319784787.2987"	"3156000"
2012	"YR2012"	"Algeria"	"DZA"	"166002563994.37"	"4082595"	"89"	"40.7459983825684"	"2.936"	"0.445064950240349"	"0.811675497745346"	"18.2"	"2381740"	"75.187"	"209058991952.125"	"2634000"
2012	"YR2012"	"American Samoa"	"ASM"	""	"56096.9796769151"	""	""	""	""	"88.2"	""	"200"	""	"644000000"	"22600"
2012	"YR2012"	"Andorra"	"AND"	""	""	""	""	""	"1.22112166391271"	"34.0425531914894"	"86.4344246167258"	"470"	""	"3164615186.94591"	"2238000"
2012	"YR2012"	"Angola"	"AGO"	"37306384633.2097"	"1132424"	"1010"	"8.60099983215332"	"6"	"0.0631199240339422"	"46.7076281382851"	"6.5"	"1246700"	"59.77"	"113923162050.111"	"528000"
2012	"YR2012"	"Antigua and Barbuda"	"ATG"	""	"1310276.41341743"	"1030"	""	"2.102"	"56.8403419695816"	"22.2727272727273"	"58"	"440"	"75.733"	"1211411703.7037"	"247000"
2012	"YR2012"	"Arab World"	"ARB"	"2183018974417.84"	"152014159.66127"	""	"25.7676140595186"	"3.46134725492065"	"2.68103397232952"	"2.85632230023747"	"30.1782328191634"	"13621411"	"70.4080156937082"	"2786139307967.37"	"78991956.9541021"
2012	"YR2012"	"Argentina"	"ARG"	"471031622119.472"	"9375669.73963746"	"591"	"23.6560001373291"	"2.347"	"53.663430990532"	"10.2322148288626"	"55.8"	"2736690"	"75.926"	"545982375701.128"	"5587000"
2012	"YR2012"	"Armenia"	"ARM"	"9453686905.84726"	"364733"	"562"	"17.6919994354248"	"1.664"	"25.9209839903098"	"11.6403231471725"	"37.5"	"28470"	"73.814"	"10619320048.5857"	"963000"
